id,sex,RANK,ordinal.rank,percofsex.domianted
5H4,F,1,H,100
1P0,F,2,H,97.05882353
8L3,F,3,H,95.58823529
24V,F,4,H,94.11764706
3R0,F,5,H,92.64705882
7O3,F,6,H,91.17647059
62R,F,7,H,89.70588235
2J7,F,8,H,88.23529412
2C3,F,9,H,86.76470588
0M6,F,10,H,85.29411765
0K8,F,11,H,83.82352941
76J,F,12,H,82.35294118
4D8,F,13,H,80.88235294
8O9,F,14,M,79.41176471
4F1,F,15,M,77.94117647
1E2,F,16,M,76.47058824
1P4,F,17,M,75
9N6,F,18,M,73.52941176
1O7,F,19,M,72.05882353
7J7,F,20,M,70.58823529
86Z,F,25,M,63.23529412
60R,F,21,M,69.11764706
6K6,F,22,M,67.64705882
6D6,F,23,M,66.17647059
1R1,F,24,M,64.70588235
7I8,F,26,M,61.76470588
5Q7,F,27,M,60.29411765
2C4,F,28,M,58.82352941
0Q5,F,29,M,57.35294118
6D9,F,30,M,55.88235294
6M7,F,31,M,54.41176471
3F7,F,32,M,52.94117647
9Q5,F,33,M,51.47058824
6C2,F,34,M,50
2R9,F,35,L,48.52941176
83Z,F,36,L,47.05882353
1O9,F,37,L,45.58823529
8I9,F,38,L,44.11764706
9I8,F,39,L,42.64705882
4Q4,F,40,L,41.17647059
3F5,F,41,L,39.70588235
3Q3,F,42,L,38.23529412
44V,F,43,L,36.76470588
4P6,F,44,L,35.29411765
3G3,F,45,L,33.82352941
37V,F,46,L,32.35294118
7Q3,F,47,L,30.88235294
6L1,F,48,L,29.41176471
1C7,F,49,L,27.94117647
4R4,F,50,L,26.47058824
4M9,F,51,L,25
2F2,F,52,L,23.52941176
6D4,F,53,L,22.05882353
2O7,F,54,L,20.58823529
7F0,F,55,L,19.11764706
5M5,F,56,L,17.64705882
51V,F,57,L,16.17647059
93O,F,58,L,14.70588235
9H9,F,59,L,13.23529412
49V,F,60,L,11.76470588
9L9,F,61,L,10.29411765
25P,F,62,L,8.823529412
3R9,F,63,L,7.352941176
6O7,F,64,L,5.882352941
55J,F,65,L,4.411764706
0J5,F,66,L,2.941176471
1C5,F,67,L,1.470588235
1L1,F,68,L,0
94H,M,1,H,100
56K,M,2,H,94.28571429
16R,M,3,H,91.42857143
27N,M,4,H,88.57142857
27J,M,5,H,85.71428571
99L,M,6,H,82.85714286
51J,M,7,H,80
46Z,M,8,M,77.14285714
73Z,M,9,M,74.28571429
6L3,M,10,M,71.42857143
97Z,M,11,M,68.57142857
64S,M,12,M,65.71428571
98Z,M,13,M,62.85714286
11Z,M,14,M,60
6A9,M,15,M,57.14285714
1M8,M,16,M,54.28571429
2M4,M,17,M,51.42857143
3M3,M,18,M,48.57142857
6L4,M,19,L,45.71428571
4M0,M,20,L,42.85714286
5J3,M,21,L,40
5K0,M,22,L,37.14285714
8C9,M,23,L,34.28571429
1P5,M,24,L,31.42857143
4R3,M,25,L,28.57142857
2R0,M,26,L,25.71428571
1R7,M,27,L,22.85714286
3O7,M,28,L,20
2O4,M,29,L,17.14285714
3P5,M,30,L,14.28571429
1S5,M,31,L,11.42857143
0R2,M,32,L,8.571428571
1S8,M,33,L,5.714285714
3Q9,M,34,L,2.857142857
4R7,M,35,L,0